year,state,party,votes
1980,TEXAS,OTHER,149784
1980,UTAH,OTHER,40199
1980,VERMONT,OTHER,36719
1980,VIRGINIA,OTHER,124249
1980,WASHINGTON,OTHER,226957
1980,WEST VIRGINIA,OTHER,36047
1980,WISCONSIN,OTHER,202792
1980,WYOMING,OTHER,16586
1984,ALABAMA,OTHER,16965
1984,ALASKA,OTHER,7221
1984,ARIZONA,OTHER,10627
1984,ARKANSAS,OTHER,10986
1984,CALIFORNIA,OTHER,115513
1984,COLORADO,OTHER,18588
1984,CONNECTICUT,OTHER,6426
1984,DELAWARE,OTHER,726
1984,DISTRICT OF COLUMBIA,OTHER,1871
1984,FLORIDA,OTHER,885
1984,GEORGIA,OTHER,753
1984,HAWAII,OTHER,3642
1984,IDAHO,OTHER,5111
1984,ILLINOIS,OTHER,25486
1984,INDIANA,OTHER,14358
1984,IOWA,OTHER,11097
1984,KANSAS,OTHER,11546
1984,KENTUCKY,OTHER,8104
1984,LOUISIANA,OTHER,17937
1984,MAINE,OTHER,2129
1984,MARYLAND,OTHER,8020
1984,MASSACHUSETTS,OTHER,8841
1984,MICHIGAN,OTHER,20449
1984,MINNESOTA,OTHER,15482
1984,MISSISSIPPI,OTHER,6535
1984,MISSOURI,OTHER,0
1984,MONTANA,OTHER,5185
1984,NEBRASKA,OTHER,4170
1984,NEVADA,OTHER,2292
1984,NEW HAMPSHIRE,OTHER,1507
1984,NEW JERSEY,OTHER,22909
1984,NEW MEXICO,OTHER,5500
1984,NEW YORK,OTHER,429006
1984,NORTH CAROLINA,OTHER,4593
1984,NORTH DAKOTA,OTHER,4206
1984,OHIO,OTHER,59236
1984,OKLAHOMA,OTHER,9066
1984,OREGON,OTHER,4348
1984,PENNSYLVANIA,OTHER,32449
1984,RHODE ISLAND,OTHER,1303
1984,SOUTH CAROLINA,OTHER,8531
1984,SOUTH DAKOTA,OTHER,1487
1984,TENNESSEE,OTHER,10067
1984,TEXAS,OTHER,14867
1984,UTAH,OTHER,5182
1984,VERMONT,OTHER,2966
1984,VIRGINIA,OTHER,13307
1984,WASHINGTON,OTHER,24888
1984,WEST VIRGINIA,OTHER,2134
1984,WISCONSIN,OTHER,17365
1984,WYOMING,OTHER,2357
1988,ALABAMA,OTHER,13394
1988,ALASKA,OTHER,8281
1988,ARIZONA,OTHER,15303
1988,ARKANSAS,OTHER,11923
1988,CALIFORNIA,OTHER,129915
1988,COLORADO,OTHER,22764
1988,CONNECTICUT,OTHER,16569
1988,DELAWARE,OTHER,1605
1988,DISTRICT OF COLUMBIA,OTHER,5880
1988,FLORIDA,OTHER,26727
1988,GEORGIA,OTHER,13549
1988,HAWAII,OTHER,3472
1988,IDAHO,OTHER,7815
1988,ILLINOIS,OTHER,32241
1988,INDIANA,OTHER,10215
1988,IOWA,OTHER,9702
1988,KANSAS,OTHER,16359
1988,KENTUCKY,OTHER,7868
1988,LOUISIANA,OTHER,27040
1988,MAINE,OTHER,4335
1988,MARYLAND,OTHER,11887
1988,MASSACHUSETTS,OTHER,36751
1988,MICHIGAN,OTHER,27894
1988,MINNESOTA,OTHER,24982
1988,MISSISSIPPI,OTHER,9716
1988,MISSOURI,OTHER,6656
1988,MONTANA,OTHER,6326
1988,NEBRASKA,OTHER,4274
1988,NEVADA,OTHER,4355
1988,NEW HAMPSHIRE,OTHER,5292
1988,NEW JERSEY,OTHER,36009
1988,NEW MEXICO,OTHER,6549
1988,NEW YORK,OTHER,391782
1988,NORTH CAROLINA,OTHER,6945
1988,NORTH DAKOTA,OTHER,2963
1988,OHIO,OTHER,37407
1988,OKLAHOMA,OTHER,9246
1988,OREGON,OTHER,25362
1988,PENNSYLVANIA,OTHER,41220
1988,RHODE ISLAND,OTHER,1738
1988,SOUTH CAROLINA,OTHER,9012
1988,SOUTH DAKOTA,OTHER,2016
1988,TENNESSEE,OTHER,9223
1988,TEXAS,OTHER,37833
1988,UTAH,OTHER,11223
1988,VERMONT,OTHER,3222
1988,VIRGINIA,OTHER,22648
1988,WASHINGTON,OTHER,27902
1988,WEST VIRGINIA,OTHER,2230
1988,WISCONSIN,OTHER,17315
1988,WYOMING,OTHER,2571
1992,ALABAMA,OTHER,193697
1992,ALASKA,OTHER,78212
1992,ARIZONA,OTHER,371839
1992,ARKANSAS,OTHER,107506
1992,CALIFORNIA,OTHER,2379822
1992,COLORADO,OTHER,376649
1992,CONNECTICUT,OTHER,355525
1992,DELAWARE,OTHER,61253
1992,DISTRICT OF COLUMBIA,OTHER,14255
1992,FLORIDA,OTHER,1068384
1992,GEORGIA,OTHER,316915
1992,HAWAII,OTHER,56710
1992,IDAHO,OTHER,142456
1992,ILLINOIS,OTHER,862711
1992,INDIANA,OTHER,468076
1992,IOWA,OTHER,263363
1992,KANSAS,OTHER,316851
1992,KENTUCKY,OTHER,210618
1992,LOUISIANA,OTHER,240660
1992,MAINE,OTHER,209575
1992,MARYLAND,OTHER,288915
1992,MASSACHUSETTS,OTHER,649986
1992,MICHIGAN,OTHER,848551
1992,MINNESOTA,OTHER,579110
1992,MISSISSIPPI,OTHER,93742
1992,MISSOURI,OTHER,526238
1992,MONTANA,OTHER,111869
1992,NEBRASKA,OTHER,177004
1992,NEVADA,OTHER,141342
1992,NEW HAMPSHIRE,OTHER,125691
1992,NEW JERSEY,OTHER,550523
1992,NEW MEXICO,OTHER,95545
1992,NEW YORK,OTHER,1690848
1992,NORTH CAROLINA,OTHER,363147
1992,NORTH DAKOTA,OTHER,72721
1992,OHIO,OTHER,1060715
1992,OKLAHOMA,OTHER,324364
1992,OREGON,OTHER,365572
1992,PENNSYLVANIA,OTHER,928805
1992,RHODE ISLAND,OTHER,108465
1992,SOUTH CAROLINA,OTHER,125891
1992,SOUTH DAKOTA,OTHER,74648
1992,TENNESSEE,OTHER,207817
1992,TEXAS,OTHER,1376132
1992,UTAH,OTHER,237937
1992,VERMONT,OTHER,67987
1992,VIRGINIA,OTHER,369962
1992,WASHINGTON,OTHER,563294
1992,WEST VIRGINIA,OTHER,110702
1992,WISCONSIN,OTHER,559143
1992,WYOMING,OTHER,52377
1996,ALABAMA,OTHER,103140
1996,ALASKA,OTHER,38494
1996,ARIZONA,OTHER,129044
1996,ARKANSAS,OTHER,83675
1996,CALIFORNIA,OTHER,1071253
1996,COLORADO,OTHER,147702
1996,CONNECTICUT,OTHER,173765
1996,DELAWARE,OTHER,31393
1996,DISTRICT OF COLUMBIA,OTHER,10167
1996,FLORIDA,OTHER,511748
1996,GEORGIA,OTHER,164207
1996,HAWAII,OTHER,41165
1996,IDAHO,OTHER,69673
1996,ILLINOIS,OTHER,382626
1996,INDIANA,OTHER,241314
1996,IOWA,OTHER,121173
1996,KANSAS,OTHER,103396
1996,KENTUCKY,OTHER,128811
1996,LOUISIANA,OTHER,143536
1996,MAINE,OTHER,106731
1996,MARYLAND,OTHER,133133
1996,MASSACHUSETTS,OTHER,266892
1996,MICHIGAN,OTHER,377979
1996,MINNESOTA,OTHER,305717
1996,MISSISSIPPI,OTHER,59997
1996,MISSOURI,OTHER,242114
1996,MONTANA,OTHER,59509
1996,NEBRASKA,OTHER,77187
1996,NEVADA,OTHER,61061
1996,NEW HAMPSHIRE,OTHER,53945
1996,NEW JERSEY,OTHER,320400
1996,NEW MEXICO,OTHER,49828
1996,NEW YORK,OTHER,1050792
1996,NORTH CAROLINA,OTHER,182020
1996,NORTH DAKOTA,OTHER,34456
1996,OHIO,OTHER,526329
1996,OKLAHOMA,OTHER,136293
1996,OREGON,OTHER,189967
1996,PENNSYLVANIA,OTHER,484319
1996,RHODE ISLAND,OTHER,52514
1996,SOUTH CAROLINA,OTHER,70691
1996,SOUTH DAKOTA,OTHER,33950
1996,TENNESSEE,OTHER,121429
1996,TEXAS,OTHER,415794
1996,UTAH,OTHER,82085
1996,VERMONT,OTHER,40203
1996,VIRGINIA,OTHER,187232
1996,WASHINGTON,OTHER,289802
1996,WEST VIRGINIA,OTHER,74701
1996,WISCONSIN,OTHER,279169
1996,WYOMING,OTHER,28249
2000,ALABAMA,OTHER,32488
2000,ALASKA,OTHER,39158
2000,ARIZONA,OTHER,65023
2000,ARKANSAS,OTHER,26073
2000,CALIFORNIA,OTHER,537190
2000,COLORADO,OTHER,119393
2000,CONNECTICUT,OTHER,82416
2000,DELAWARE,OTHER,10173
2000,DISTRICT OF COLUMBIA,OTHER,11898
2000,FLORIDA,OTHER,138067
2000,GEORGIA,OTHER,47258
2000,HAWAII,OTHER,24820
2000,IDAHO,OTHER,26041
2000,ILLINOIS,OTHER,133661
2000,INDIANA,OTHER,51486
2000,IOWA,OTHER,80132
2000,KANSAS,OTHER,50608
2000,KENTUCKY,OTHER,32663
2000,LOUISIANA,OTHER,45441
2000,MAINE,OTHER,45250
2000,MARYLAND,OTHER,67377
2000,MASSACHUSETTS,OTHER,238975
2000,MICHIGAN,OTHER,108944
2000,MINNESOTA,OTHER,160760
2000,MISSISSIPPI,OTHER,16726
2000,MISSOURI,OTHER,58830
2000,MONTANA,OTHER,33682
2000,NEBRASKA,OTHER,31377
2000,NEVADA,OTHER,27873
2000,NEW HAMPSHIRE,OTHER,29174
2000,NEW JERSEY,OTHER,114203
2000,NEW MEXICO,OTHER,25405
2000,NEW YORK,OTHER,759423
2000,NORTH CAROLINA,OTHER,26135
2000,NORTH DAKOTA,OTHER,18120
2000,OHIO,OTHER,168007
2000,OKLAHOMA,OTHER,15616
2000,OREGON,OTHER,100031
2000,PENNSYLVANIA,OTHER,145091
2000,RHODE ISLAND,OTHER,29049
2000,SOUTH CAROLINA,OTHER,30973
2000,SOUTH DAKOTA,OTHER,6765
2000,TENNESSEE,OTHER,32512
2000,TEXAS,OTHER,174252
2000,UTAH,OTHER,52605
2000,VERMONT,OTHER,25511
2000,VIRGINIA,OTHER,84667
2000,WASHINGTON,OTHER,130917
2000,WEST VIRGINIA,OTHER,16152
2000,WISCONSIN,OTHER,118341
2000,WYOMING,OTHER,5298
2004,ALABAMA,OTHER,13088
2004,ALASKA,OTHER,10684
2004,ARIZONA,OTHER,14767
2004,ARKANSAS,OTHER,12094
2004,CALIFORNIA,OTHER,166042
2004,COLORADO,OTHER,26643
2004,CONNECTICUT,OTHER,27455
2004,DELAWARE,OTHER,3378
2004,DISTRICT OF COLUMBIA,OTHER,3360
2004,FLORIDA,OTHER,61744
2004,GEORGIA,OTHER,21472
2004,HAWAII,OTHER,3114
2004,IDAHO,OTHER,8043
2004,ILLINOIS,OTHER,36826
2004,INDIANA,OTHER,19553
2004,IOWA,OTHER,13053
2004,KANSAS,OTHER,16307
2004,KENTUCKY,OTHER,13710
2004,LOUISIANA,OTHER,20638
2004,MAINE,OTHER,13709
2004,MARYLAND,OTHER,25042
2004,MASSACHUSETTS,OTHER,52546
2004,MICHIGAN,OTHER,46323
2004,MINNESOTA,OTHER,36678
2004,MISSISSIPPI,OTHER,9398
2004,MISSOURI,OTHER,16480
2004,MONTANA,OTHER,10661
2004,NEBRASKA,OTHER,11044
2004,NEVADA,OTHER,13707
2004,NEW HAMPSHIRE,OTHER,6539
2004,NEW JERSEY,OTHER,30258
2004,NEW MEXICO,OTHER,8432
2004,NEW YORK,OTHER,460518
2004,NORTH CAROLINA,OTHER,13992
2004,NORTH DAKOTA,OTHER,5130
2004,OHIO,OTHER,26974
2004,OKLAHOMA,OTHER,0
2004,OREGON,OTHER,26788
2004,PENNSYLVANIA,OTHER,37648
2004,RHODE ISLAND,OTHER,8328
2004,SOUTH CAROLINA,OTHER,18057
2004,SOUTH DAKOTA,OTHER,6387
2004,TENNESSEE,OTHER,16467
2004,TEXAS,OTHER,51128
2004,UTAH,OTHER,22903
2004,VERMONT,OTHER,7062
2004,VIRGINIA,OTHER,23714
2004,WASHINGTON,OTHER,43989
2004,WEST VIRGINIA,OTHER,5473
2004,WISCONSIN,OTHER,29383
2004,WYOMING,OTHER,5456
2008,ALABAMA,OTHER,19794
2008,ALASKA,OTHER,8762
2008,ARIZONA,OTHER,28657
2008,ARKANSAS,OTHER,26290
2008,CALIFORNIA,OTHER,275646
2008,COLORADO,OTHER,39196
2008,CONNECTICUT,OTHER,19592
2008,DELAWARE,OTHER,4579
2008,DISTRICT OF COLUMBIA,OTHER,2686
2008,FLORIDA,OTHER,63046
2008,GEORGIA,OTHER,31604
2008,HAWAII,OTHER,9627
2008,IDAHO,OTHER,15670
2008,ILLINOIS,OTHER,71844
2008,INDIANA,OTHER,31367
2008,IOWA,OTHER,25804
2008,KANSAS,OTHER,21452
2008,KENTUCKY,OTHER,26173
2008,LOUISIANA,OTHER,29497
2008,MAINE,OTHER,13967
2008,MARYLAND,OTHER,42267
2008,MASSACHUSETTS,OTHER,90044
2008,MICHIGAN,OTHER,80378
2008,MINNESOTA,OTHER,61606
2008,MISSISSIPPI,OTHER,10606
2008,MISSOURI,OTHER,37480
2008,MONTANA,OTHER,15679
2008,NEBRASKA,OTHER,14983
2008,NEVADA,OTHER,21285
2008,NEW HAMPSHIRE,OTHER,9610
2008,NEW JERSEY,OTHER,39608
2008,NEW MEXICO,OTHER,10904
2008,NEW YORK,OTHER,658364
2008,NORTH CAROLINA,OTHER,39726
2008,NORTH DAKOTA,OTHER,6742
2008,OHIO,OTHER,90486
2008,OKLAHOMA,OTHER,0
2008,OREGON,OTHER,52098
2008,PENNSYLVANIA,OTHER,81024
2008,RHODE ISLAND,OTHER,9804
2008,SOUTH CAROLINA,OTHER,23624
2008,SOUTH DAKOTA,OTHER,7997
2008,TENNESSEE,OTHER,33134
2008,TEXAS,OTHER,69834
2008,UTAH,OTHER,28670
2008,VERMONT,OTHER,6810
2008,VIRGINIA,OTHER,38723
2008,WASHINGTON,OTHER,56814
2008,WEST VIRGINIA,OTHER,12128
2008,WISCONSIN,OTHER,43813
2008,WYOMING,OTHER,7078
2012,ALABAMA,OTHER,22717
2012,ALASKA,OTHER,13179
2012,ARIZONA,OTHER,40368
2012,ARKANSAS,OTHER,27315
2012,CALIFORNIA,OTHER,344304
2012,COLORADO,OTHER,61172
2012,CONNECTICUT,OTHER,18229
2012,DELAWARE,OTHER,5822
2012,DISTRICT OF COLUMBIA,OTHER,5313
2012,FLORIDA,OTHER,72976
2012,GEORGIA,OTHER,45324
2012,HAWAII,OTHER,9486
2012,IDAHO,OTHER,18576
2012,ILLINOIS,OTHER,87286
2012,INDIANA,OTHER,51104
2012,IOWA,OTHER,29019
2012,KANSAS,OTHER,26611
2012,KENTUCKY,OTHER,30652
2012,LOUISIANA,OTHER,32662
2012,MAINE,OTHER,31176
2012,MARYLAND,OTHER,57614
2012,MASSACHUSETTS,OTHER,74592
2012,MICHIGAN,OTHER,51136
2012,MINNESOTA,OTHER,70169
2012,MISSISSIPPI,OTHER,11889
2012,MISSOURI,OTHER,51087
2012,MONTANA,OTHER,14281
2012,NEBRASKA,OTHER,17234
2012,NEVADA,OTHER,19978
2012,NEW HAMPSHIRE,OTHER,11493
2012,NEW JERSEY,OTHER,37625
2012,NEW MEXICO,OTHER,32635
2012,NEW YORK,OTHER,569159
2012,NORTH CAROLINA,OTHER,56586
2012,NORTH DAKOTA,OTHER,9646
2012,OHIO,OTHER,91794
2012,OKLAHOMA,OTHER,0
2012,OREGON,OTHER,64607
2012,PENNSYLVANIA,OTHER,71332
2012,RHODE ISLAND,OTHER,9168
2012,SOUTH CAROLINA,OTHER,26532
2012,SOUTH DAKOTA,OTHER,8166
2012,TENNESSEE,OTHER,35538
2012,TEXAS,OTHER,115884
2012,UTAH,OTHER,25027
2012,VERMONT,OTHER,7353
2012,VIRGINIA,OTHER,60147
2012,WASHINGTON,OTHER,79450
2012,WEST VIRGINIA,OTHER,14514
2012,WISCONSIN,OTHER,39483
2012,WYOMING,OTHER,10453
2016,ALABAMA,OTHER,75570
2016,ALASKA,OTHER,38767
2016,ARIZONA,OTHER,159597
2016,ARKANSAS,OTHER,65269
2016,CALIFORNIA,OTHER,943997
2016,COLORADO,OTHER,238866
2016,CONNECTICUT,OTHER,74133
2016,DELAWARE,OTHER,20860
2016,DISTRICT OF COLUMBIA,OTHER,17022
2016,FLORIDA,OTHER,297178
2016,GEORGIA,OTHER,147665
2016,HAWAII,OTHER,41926
2016,IDAHO,OTHER,91435
2016,ILLINOIS,OTHER,299680
2016,INDIANA,OTHER,144546
2016,IOWA,OTHER,110928
2016,KANSAS,OTHER,86379
2016,KENTUCKY,OTHER,92324
2016,LOUISIANA,OTHER,70240
2016,MAINE,OTHER,78564
2016,MARYLAND,OTHER,160012
2016,MASSACHUSETTS,OTHER,292732
2016,MICHIGAN,OTHER,250902
2016,MINNESOTA,OTHER,254128
2016,MISSISSIPPI,OTHER,23512
2016,MISSOURI,OTHER,143026
2016,MONTANA,OTHER,37577
2016,NEBRASKA,OTHER,63772
2016,NEVADA,OTHER,74067
2016,NEW HAMPSHIRE,OTHER,49980
2016,NEW JERSEY,OTHER,123835
2016,NEW MEXICO,OTHER,93418
2016,NEW YORK,OTHER,895153
2016,NORTH CAROLINA,OTHER,189617
2016,NORTH DAKOTA,OTHER,33808
2016,OHIO,OTHER,261318
2016,OKLAHOMA,OTHER,83481
2016,OREGON,OTHER,216827
2016,PENNSYLVANIA,OTHER,218228
2016,RHODE ISLAND,OTHER,31076
2016,SOUTH CAROLINA,OTHER,92265
2016,SOUTH DAKOTA,OTHER,24914
2016,TENNESSEE,OTHER,114407
2016,TEXAS,OTHER,406311
2016,UTAH,OTHER,305432
2016,VERMONT,OTHER,46525
2016,VIRGINIA,OTHER,231836
2016,WASHINGTON,OTHER,352554
2016,WEST VIRGINIA,OTHER,34886
2016,WISCONSIN,OTHER,188330
2016,WYOMING,OTHER,28396
2020,ALABAMA,OTHER,32488
2020,ALASKA,OTHER,15801
2020,ARIZONA,OTHER,53497
2020,ARKANSAS,OTHER,34490
2020,CALIFORNIA,OTHER,384202
2020,COLORADO,OTHER,111021
2020,CONNECTICUT,OTHER,28309
2020,DELAWARE,OTHER,7475
2020,DISTRICT OF COLUMBIA,OTHER,8447
2020,FLORIDA,OTHER,101680
2020,GEORGIA,OTHER,64473
2020,HAWAII,OTHER,16790
2020,IDAHO,OTHER,26874
2020,ILLINOIS,OTHER,114937
2020,INDIANA,OTHER,61183
2020,IOWA,OTHER,43397
2020,KANSAS,OTHER,30574
2020,KENTUCKY,OTHER,37648
2020,LOUISIANA,OTHER,36252
2020,MAINE,OTHER,32496
2020,MARYLAND,OTHER,75593
2020,MASSACHUSETTS,OTHER,108601
2020,MICHIGAN,OTHER,85410
2020,MINNESOTA,OTHER,76029
2020,MISSISSIPPI,OTHER,17597
2020,MISSOURI,OTHER,54212
2020,MONTANA,OTHER,15286
2020,NEBRASKA,OTHER,24954
2020,NEVADA,OTHER,32000
2020,NEW HAMPSHIRE,OTHER,15607
2020,NEW JERSEY,OTHER,57744
2020,NEW MEXICO,OTHER,20457
2020,NEW YORK,OTHER,185952
2020,NORTH CAROLINA,OTHER,81737
2020,NORTH DAKOTA,OTHER,11322
2020,OHIO,OTHER,88203
2020,OKLAHOMA,OTHER,36529
2020,OREGON,OTHER,75490
2020,PENNSYLVANIA,OTHER,79380
2020,RHODE ISLAND,OTHER,9582
2020,SOUTH CAROLINA,OTHER,37452
2020,SOUTH DAKOTA,OTHER,11095
2020,TENNESSEE,OTHER,57665
2020,TEXAS,OTHER,165583
2020,UTAH,OTHER,62867
2020,VERMONT,OTHER,15444
2020,VIRGINIA,OTHER,84526
2020,WASHINGTON,OTHER,133368
2020,WEST VIRGINIA,OTHER,13286
2020,WISCONSIN,OTHER,56991
2020,WYOMING,OTHER,11453
